,alpha,p,rsquare,fund_size,return_gap,fund_flow,sharp,treynor,beta,vol
re000827OF,0.0017413122908162375,0.8018496569407603,326.0,338.0,231.0,185.0,164.0,428.0,104.0,122.0
re000828OF,0.007171114222667569,0.2957962344882319,296.0,274.0,2.0,389.0,140.0,380.0,69.0,127.0
re000831OF,0.012789517135222028,0.06301519749620024,350.0,264.0,6.0,23.0,27.0,19.0,387.0,125.0
re000835OF,0.004260873715842989,0.05046972727049938,64.0,119.0,196.0,367.0,49.0,171.0,330.0,378.0
re000854OF,0.0037390824551452595,0.4717837552244224,173.0,101.0,34.0,279.0,45.0,68.0,33.0,207.0
re000867OF,0.003141285780811012,0.5502962465734471,205.0,252.0,70.0,287.0,100.0,271.0,87.0,202.0
re000884OF,0.002515040012818494,0.5702063917243547,258.0,246.0,349.0,173.0,37.0,108.0,405.0,241.0
re000913OF,0.011344739490021257,0.08026710942072192,252.0,213.0,17.0,186.0,36.0,165.0,344.0,138.0
re000942OF,0.006471042291433547,0.37297241744444287,281.0,208.0,394.0,410.0,328.0,394.0,47.0,106.0
re000950OF,0.006235159967771416,0.17746600539800406,187.0,161.0,400.0,194.0,240.0,245.0,52.0,235.0
re000955OF,0.0005888316130250966,0.9144331522525093,365.0,358.0,140.0,218.0,283.0,107.0,389.0,189.0
re000960OF,0.01585188963464436,0.025207136304708586,321.0,263.0,51.0,265.0,19.0,32.0,369.0,114.0
re000961OF,0.0009908072597632957,0.44468874854941187,11.0,113.0,220.0,117.0,252.0,200.0,218.0,436.0
re000962OF,4.616686805260098e-05,0.9858347744706766,79.0,120.0,329.0,269.0,438.0,237.0,122.0,353.0
re000971OF,0.003920471453632602,0.6293940515555201,363.0,188.0,57.0,373.0,351.0,391.0,118.0,73.0
re000979OF,0.001683946628825656,0.6370552916661483,343.0,382.0,271.0,157.0,149.0,367.0,426.0,272.0
re000985OF,0.006295610263645021,0.39022870387317743,334.0,337.0,214.0,346.0,212.0,415.0,67.0,100.0
re000991OF,0.016028590244691554,0.004478546853687738,290.0,218.0,390.0,257.0,21.0,202.0,183.0,182.0
re001008OF,0.0015490912339809568,0.46969247442904505,82.0,340.0,31.0,167.0,98.0,280.0,348.0,384.0
re001009OF,0.00398006797280972,0.4316937915209176,209.0,278.0,156.0,316.0,106.0,365.0,217.0,211.0
re001015OF,0.0013699618850310097,0.4392604659582555,38.0,114.0,218.0,244.0,181.0,254.0,283.0,411.0
re001016OF,0.0009554128726765492,0.5900782867164236,41.0,124.0,219.0,284.0,196.0,258.0,286.0,410.0
re001027OF,0.010898588326147651,0.10665067643064412,356.0,230.0,126.0,285.0,85.0,4.0,302.0,131.0
re001028OF,0.007705280557134445,0.17915671682235523,250.0,298.0,303.0,69.0,191.0,362.0,92.0,175.0
re001036OF,0.006559470370483947,0.25343516979644387,259.0,359.0,151.0,204.0,138.0,361.0,80.0,174.0
re001039OF,0.004195187960089303,0.48096129155197787,279.0,336.0,173.0,240.0,131.0,400.0,179.0,164.0
re001040OF,0.0053414626168681555,0.2900408981483735,244.0,347.0,264.0,308.0,74.0,111.0,157.0,212.0
re001043OF,0.010412561376200374,0.00498372117858903,196.0,253.0,108.0,331.0,28.0,213.0,260.0,268.0
re001044OF,0.0021805541421356205,0.6650134695166323,291.0,185.0,93.0,65.0,51.0,62.0,390.0,213.0
re001047OF,0.008150614689325805,0.04695523090833146,191.0,267.0,197.0,302.0,76.0,294.0,115.0,258.0
re001050OF,0.004203912251147985,0.1283593828678892,133.0,328.0,298.0,258.0,289.0,207.0,256.0,335.0
re001051OF,0.0016728954836980527,0.4377138271048592,69.0,143.0,192.0,183.0,180.0,113.0,337.0,382.0
re001054OF,0.00968864059500193,0.018569374669467623,220.0,373.0,62.0,294.0,35.0,270.0,276.0,257.0
re001070OF,0.006566465213195403,0.22971186272265165,215.0,308.0,77.0,327.0,143.0,401.0,73.0,190.0
re001072OF,0.011139109335742374,0.11871320667458773,348.0,349.0,177.0,182.0,79.0,355.0,91.0,112.0
re001097OF,0.0011419966111589908,0.8144516768639345,325.0,315.0,72.0,286.0,316.0,172.0,353.0,221.0
re001104OF,0.007871183490443735,0.025003481650610466,198.0,364.0,40.0,111.0,23.0,137.0,354.0,276.0
re001105OF,0.00112080813456598,0.7655632229822169,193.0,302.0,75.0,274.0,286.0,344.0,287.0,267.0
re001126OF,0.006064419429324395,0.19624861376739633,234.0,223.0,121.0,332.0,73.0,303.0,327.0,232.0
re001158OF,0.0006849412318906288,0.9072155433657736,349.0,300.0,59.0,17.0,345.0,366.0,282.0,167.0
re001162OF,0.0019017437322104615,0.8296552441269343,381.0,139.0,408.0,433.0,144.0,75.0,176.0,63.0
re001163OF,0.0025765772215548856,0.49639495038448456,151.0,375.0,94.0,41.0,97.0,50.0,93.0,265.0
re001171OF,0.013970810876101173,0.04181506427174813,353.0,217.0,18.0,193.0,14.0,10.0,358.0,126.0
re001178OF,0.0068883862731094845,0.36590616729336123,324.0,89.0,443.0,288.0,188.0,73.0,45.0,91.0
re001180OF,0.003314649097030997,0.5302503559017768,225.0,132.0,80.0,146.0,264.0,45.0,320.0,200.0
re001186OF,0.008421419968524992,0.051112246113968175,207.0,363.0,353.0,209.0,22.0,188.0,319.0,245.0
re001188OF,0.0003232383588328124,0.9087348126011974,153.0,309.0,73.0,195.0,234.0,242.0,334.0,326.0
re001195OF,0.006032596924154702,0.4826466086333251,377.0,249.0,109.0,103.0,93.0,44.0,234.0,66.0
re001208OF,0.006843958989636533,0.04144130958314472,185.0,386.0,412.0,150.0,24.0,191.0,352.0,282.0
re001214OF,0.00044927240400129045,0.8671268881723695,92.0,247.0,330.0,342.0,432.0,230.0,130.0,346.0
re001223OF,0.0027940158353847427,0.6167680355989842,256.0,197.0,308.0,270.0,334.0,310.0,181.0,186.0
re001230OF,0.004941984521312285,0.41878029034404474,299.0,281.0,1.0,51.0,94.0,49.0,394.0,155.0
re001236OF,0.009192621949800127,0.08372974762997829,330.0,350.0,223.0,238.0,53.0,358.0,280.0,199.0
re001237OF,0.003189805305634199,0.13470476330173012,70.0,63.0,181.0,312.0,127.0,118.0,350.0,385.0
re001242OF,0.0021119167929510114,0.49005802752283234,142.0,333.0,281.0,82.0,374.0,283.0,109.0,302.0
re001243OF,0.002121774683400925,0.48806361040191626,143.0,330.0,280.0,339.0,373.0,281.0,108.0,301.0
re001313OF,0.007482266420270752,0.4295766381511351,371.0,231.0,86.0,153.0,172.0,371.0,97.0,50.0
re001319OF,0.00326782807869358,0.653902467875261,370.0,299.0,255.0,224.0,139.0,425.0,241.0,102.0
re001361OF,0.003643996864182755,0.6227038727572884,316.0,325.0,366.0,124.0,343.0,392.0,37.0,97.0
