,thscode,ths_fund_scale_fund
637,590007.OF,115721263.69
638,660008.OF,843936758.5399997
639,660011.OF,85873658.28999999
640,673090.OF,203053366.21
641,673100.OF,
642,690008.OF,72642921.80999999
643,700002.OF,53698707.16999999
644,740101.OF,72287576.53999999
645,960000.OF,29165273.64
646,960022.OF,1004.9
